loan_id,loan_no,member_id,application_id,status,principal_amount,principal_outstanding,disbursement_cash_bank_id,disbursement_journal_id,schedule_count,payment_count,created_at
3463,SP-MGR/0001/PRIM/VII/2026,1246,3478,active,27000000,7500000,,,36,0,2026-07-25T15:22:30.538Z
3464,SP-MGR/0002/PRIM/VII/2026,1172,3479,active,6000000,3900000,,,20,0,2026-07-25T15:22:30.579Z
3465,SP-MGR/0003/PRIM/VII/2026,1260,3480,active,31000000,29276000,,,36,0,2026-07-25T15:22:30.601Z
3466,SP-MGR/0004/PRIM/VII/2026,1058,3481,active,20000000,4154000,,,24,0,2026-07-25T15:22:30.629Z
3467,SP-MGR/0005/PRIM/VII/2026,1299,3482,active,25000000,19258000,,,48,0,2026-07-25T15:22:30.653Z
3468,SP-MGR/0006/PRIM/VII/2026,1177,3483,active,12500000,8125000,,,20,0,2026-07-25T15:22:30.678Z
3469,SP-MGR/0007/PRIM/VII/2026,1168,3484,active,10000000,6500000,,,20,0,2026-07-25T15:22:30.699Z
3470,SP-MGR/0008/PRIM/VII/2026,1050,3485,active,12000000,8500000,,,24,0,2026-07-25T15:22:30.720Z
3471,SP-MGR/0009/PRIM/VII/2026,1262,3486,active,2000000,1600000,,,10,0,2026-07-25T15:22:30.741Z
3472,SP-MGR/0010/PRIM/VII/2026,1031,3487,active,2000000,400000,,,10,0,2026-07-25T15:22:30.762Z
3473,SP-MGR/0011/PRIM/VII/2026,1131,3488,active,25000000,21250000,,,20,0,2026-07-25T15:22:30.785Z
3474,SP-MGR/0012/PRIM/VII/2026,1180,3489,active,19000000,18050000,,,20,0,2026-07-25T15:22:30.806Z
3475,SP-MGR/0013/PRIM/VII/2026,1127,3490,active,16000000,14220000,,,36,0,2026-07-25T15:22:30.832Z
3476,SP-MGR/0014/PRIM/VII/2026,1327,3491,active,20000000,17081000,,,48,0,2026-07-25T15:22:30.858Z
3477,SP-MGR/0015/PRIM/VII/2026,863,3492,active,50000000,42706000,,,48,0,2026-07-25T15:22:30.887Z
3478,SP-MGR/0016/PRIM/VII/2026,1312,3493,active,20000000,19000000,,,20,0,2026-07-25T15:22:30.912Z
3479,SP-MGR/0017/PRIM/VII/2026,1236,3494,active,40000000,38888000,,,36,0,2026-07-25T15:22:30.934Z
3480,SP-MGR/0018/PRIM/VII/2026,827,3495,active,5000000,4332000,,,15,0,2026-07-25T15:22:30.958Z
3481,SP-MGR/0019/PRIM/VII/2026,1157,3496,active,10000000,7498000,,,12,0,2026-07-25T15:22:30.980Z
3482,SP-MGR/0020/PRIM/VII/2026,1136,3497,active,75000000,27068000,,,36,0,2026-07-25T15:22:31.001Z
3483,SP-MGR/0021/PRIM/VII/2026,1184,3498,active,30000000,20000000,,,24,0,2026-07-25T15:22:31.037Z
3484,SP-MGR/0022/PRIM/VII/2026,1034,3499,active,50000000,43748000,,,48,0,2026-07-25T15:22:31.059Z
3485,SP-MGR/0023/PRIM/VII/2026,1103,3500,active,17000000,10392000,,,36,0,2026-07-25T15:22:31.083Z
3486,SP-MGR/0024/PRIM/VII/2026,1020,3501,active,5000000,4583000,,,12,0,2026-07-25T15:22:31.108Z
3487,SP-MGR/0025/PRIM/VII/2026,1317,3502,active,17000000,8492000,,,24,0,2026-07-25T15:22:31.129Z
3488,SP-MGR/0026/PRIM/VII/2026,1054,3503,active,35000000,11000000,,,35,0,2026-07-25T15:22:31.151Z
3489,SP-MGR/0027/PRIM/VII/2026,1165,3504,active,11000000,3850000,,,20,0,2026-07-25T15:22:31.174Z
3490,SP-MGR/0028/PRIM/VII/2026,1283,3505,active,10000000,1660000,,,12,0,2026-07-25T15:22:31.197Z
3491,SP-MGR/0029/PRIM/VII/2026,1255,3506,active,20000000,6000000,,,20,0,2026-07-25T15:22:31.218Z
3492,SP-MGR/0030/PRIM/VII/2026,1217,3507,active,20000000,13884000,,,36,0,2026-07-25T15:22:31.242Z
3493,SP-MGR/0031/PRIM/VII/2026,1222,3508,active,20000000,18332000,,,36,0,2026-07-25T15:22:31.265Z
3494,SP-MGR/0032/PRIM/VII/2026,1077,3509,active,27000000,21750000,,,36,0,2026-07-25T15:22:31.287Z
3495,SP-MGR/0033/PRIM/VII/2026,1274,3510,active,10000000,3328000,,,12,0,2026-07-25T15:22:31.309Z
3496,SP-MGR/0034/PRIM/VII/2026,1244,3511,active,13000000,7150000,,,20,0,2026-07-25T15:22:31.330Z
3497,SP-MGR/0035/PRIM/VII/2026,946,3512,active,11000000,7336000,,,24,0,2026-07-25T15:22:31.356Z
3498,SP-MGR/0036/PRIM/VII/2026,1249,3513,active,8000000,6000000,,,20,0,2026-07-25T15:22:31.378Z
3499,SP-MGR/0037/PRIM/VII/2026,856,3514,active,10000000,3000000,,,10,0,2026-07-25T15:22:31.400Z
3500,SP-MGR/0038/PRIM/VII/2026,846,3515,active,15000000,625000,,,24,0,2026-07-25T15:22:31.422Z
3501,SP-MGR/0039/PRIM/VII/2026,1218,3516,active,25000000,14992000,,,30,0,2026-07-25T15:22:31.444Z
3502,SP-MGR/0040/PRIM/VII/2026,1258,3517,active,34000000,28900000,,,40,0,2026-07-25T15:22:31.494Z
3503,SP-MGR/0041/PRIM/VII/2026,883,3518,active,10000000,6000000,,,20,0,2026-07-25T15:22:31.607Z
3504,SP-MGR/0042/PRIM/VII/2026,1245,3519,active,3000000,2250000,,,20,0,2026-07-25T15:22:31.629Z
3505,SP-MGR/0043/PRIM/VII/2026,1105,3520,active,9000000,8500000,,,36,0,2026-07-25T15:22:31.651Z
3506,SP-MGR/0044/PRIM/VII/2026,763,3521,active,100000000,71661000,,,60,0,2026-07-25T15:22:31.675Z
3507,SP-MGR/0045/PRIM/VII/2026,1164,3522,active,12000000,6600000,,,20,0,2026-07-25T15:22:31.700Z
3508,SP-MGR/0046/PRIM/VII/2026,950,3523,active,5000000,3000000,,,10,0,2026-07-25T15:22:31.722Z
3509,SP-MGR/0047/PRIM/VII/2026,1155,3524,active,27000000,22500000,,,36,0,2026-07-25T15:22:31.743Z
3510,SP-MGR/0048/PRIM/VII/2026,954,3525,active,13000000,5197000,,,15,0,2026-07-25T15:22:31.767Z
3511,SP-MGR/0049/PRIM/VII/2026,868,3526,active,15000000,5000000,,,24,0,2026-07-25T15:22:31.788Z
3512,SP-MGR/0050/PRIM/VII/2026,845,3527,active,50000000,36454000,,,48,0,2026-07-25T15:22:31.810Z
3513,SP-MGR/0051/PRIM/VII/2026,1128,3528,active,38000000,26912000,,,48,0,2026-07-25T15:22:31.835Z
3514,SP-MGR/0052/PRIM/VII/2026,1276,3529,active,4000000,2664000,,,24,0,2026-07-25T15:22:31.858Z
3515,SP-MGR/0053/PRIM/VII/2026,1334,3530,active,70000000,25265000,,,36,0,2026-07-25T15:22:31.879Z
3516,SP-MGR/0054/PRIM/VII/2026,1150,3531,active,8000000,4000000,,,10,0,2026-07-25T15:22:31.903Z
3517,SP-MGR/0055/PRIM/VII/2026,1159,3532,active,15000000,14166000,,,36,0,2026-07-25T15:22:31.924Z
3518,SP-MGR/0056/PRIM/VII/2026,1066,3533,active,7000000,3896000,,,36,0,2026-07-25T15:22:31.950Z
3519,SP-MGR/0057/PRIM/VII/2026,1189,3534,active,35000000,4868000,,,36,0,2026-07-25T15:22:31.973Z
3520,SP-MGR/0058/PRIM/VII/2026,1206,3535,active,40000000,38333000,,,24,0,2026-07-25T15:22:31.997Z
3521,SP-MGR/0059/PRIM/VII/2026,1201,3536,active,15000000,2250000,,,20,0,2026-07-25T15:22:32.019Z
3522,SP-MGR/0060/PRIM/VII/2026,1339,3537,active,35000000,26240000,,,48,0,2026-07-25T15:22:32.041Z
3523,SP-MGR/0061/PRIM/VII/2026,1243,3538,active,195000000,188500000,,,60,0,2026-07-25T15:22:32.076Z
3524,SP-MGR/0062/PRIM/VII/2026,1239,3539,active,16000000,11331000,,,24,0,2026-07-25T15:22:32.101Z
3525,SP-MGR/0063/PRIM/VII/2026,1116,3540,active,12000000,8500000,,,24,0,2026-07-25T15:22:32.123Z
3526,SP-MGR/0064/PRIM/VII/2026,867,3541,active,3000000,1500000,,,12,0,2026-07-25T15:22:32.145Z
3527,SP-MGR/0065/PRIM/VII/2026,1204,3542,active,5000000,500000,,,10,0,2026-07-25T15:22:32.167Z
3528,SP-MGR/0066/PRIM/VII/2026,1152,3543,active,10000000,9583000,,,24,0,2026-07-25T15:22:32.189Z
3529,SP-MGR/0067/PRIM/VII/2026,1070,3544,active,2000000,1800000,,,10,0,2026-07-25T15:22:32.211Z
3530,SP-MGR/0068/PRIM/VII/2026,1298,3545,active,15000000,14374000,,,48,0,2026-07-25T15:22:32.232Z
3531,SP-MGR/0069/PRIM/VII/2026,1289,3546,active,12000000,11332000,,,36,0,2026-07-25T15:22:32.257Z
3532,SP-MGR/0070/PRIM/VII/2026,912,3547,active,4000000,2998000,,,12,0,2026-07-25T15:22:32.282Z
3533,SP-MGR/0071/PRIM/VII/2026,1056,3548,active,40000000,39166000,,,48,0,2026-07-25T15:22:32.304Z
3534,SP-MGR/0072/PRIM/VII/2026,1181,3549,active,10000000,8749000,,,24,0,2026-07-25T15:22:32.329Z
3535,SP-MGR/0073/PRIM/VII/2026,1074,3550,active,15000000,9000000,,,20,0,2026-07-25T15:22:32.353Z
3536,SP-MGR/0074/PRIM/VII/2026,1194,3551,active,10000000,8500000,,,20,0,2026-07-25T15:22:32.376Z
3537,SP-MGR/0075/PRIM/VII/2026,1277,3552,active,5000000,3500000,,,10,0,2026-07-25T15:22:32.398Z
3538,SP-MGR/0076/PRIM/VII/2026,1303,3553,active,25000000,21250000,,,20,0,2026-07-25T15:22:32.419Z
3539,SP-MGR/0077/PRIM/VII/2026,1234,3554,active,20000000,18888000,,,36,0,2026-07-25T15:22:32.441Z
3540,SP-MGR/0078/PRIM/VII/2026,955,3555,active,5000000,4373000,,,24,0,2026-07-25T15:22:32.464Z
3541,SP-MGR/0079/PRIM/VII/2026,1225,3556,active,65000000,54168000,,,48,0,2026-07-25T15:22:32.487Z
3542,SP-MGR/0080/PRIM/VII/2026,963,3557,active,17000000,7650000,,,20,0,2026-07-25T15:22:32.511Z
3543,SP-MGR/0081/PRIM/VII/2026,812,3558,active,27000000,3750000,,,36,0,2026-07-25T15:22:32.544Z
3544,SP-MGR/0082/PRIM/VII/2026,970,3559,active,65000000,63646000,,,48,0,2026-07-25T15:22:32.567Z
3545,SP-MGR/0083/PRIM/VII/2026,869,3560,active,30000000,28332000,,,36,0,2026-07-25T15:22:32.591Z
3546,SP-MGR/0084/PRIM/VII/2026,1213,3561,active,15000000,9114000,,,46,0,2026-07-25T15:22:32.614Z
3547,SP-MGR/0085/PRIM/VII/2026,974,3562,active,31000000,29278000,,,36,0,2026-07-25T15:22:32.639Z
3548,SP-MGR/0086/PRIM/VII/2026,1026,3563,active,12000000,9000000,,,12,0,2026-07-25T15:22:32.662Z
3549,SP-MGR/0087/PRIM/VII/2026,951,3564,active,7000000,3204000,,,24,0,2026-07-25T15:22:32.683Z
3550,SP-MGR/0088/PRIM/VII/2026,1302,3565,active,5000000,820000,,,24,0,2026-07-25T15:22:32.706Z
3551,SP-MGR/0089/PRIM/VII/2026,1187,3566,active,2000000,1600000,,,10,0,2026-07-25T15:22:32.728Z
3552,SP-MGR/0090/PRIM/VII/2026,1163,3567,active,30000000,13750000,,,24,0,2026-07-25T15:22:32.750Z
3553,SP-MGR/0091/PRIM/VII/2026,1190,3568,active,5000000,750000,,,20,0,2026-07-25T15:22:32.772Z
3554,SP-MGR/0092/PRIM/VII/2026,1060,3569,active,20000000,17220000,,,36,0,2026-07-25T15:22:32.794Z
3555,SP-MGR/0093/PRIM/VII/2026,960,3570,active,5500000,3300000,,,10,0,2026-07-25T15:22:32.817Z
3556,SP-MGR/0094/PRIM/VII/2026,789,3571,active,20000000,3000000,,,20,0,2026-07-25T15:22:32.837Z
3557,SP-MGR/0095/PRIM/VII/2026,1084,3572,active,17000000,4238000,,,24,0,2026-07-25T15:22:32.863Z
3558,SP-MGR/0096/PRIM/VII/2026,1294,3573,active,3000000,900000,,,10,0,2026-07-25T15:22:32.885Z
3559,SP-MGR/0097/PRIM/VII/2026,876,3574,active,43000000,35830000,,,36,0,2026-07-25T15:22:32.907Z
3560,SP-MGR/0098/PRIM/VII/2026,1307,3575,active,20000000,18332000,,,24,0,2026-07-25T15:22:32.930Z
3561,SP-MGR/0099/PRIM/VII/2026,969,3576,active,21000000,18080000,,,36,0,2026-07-25T15:22:32.951Z
3562,SP-MGR/0100/PRIM/VII/2026,878,3577,active,11000000,9623000,,,24,0,2026-07-25T15:22:32.974Z
3563,SP-MGR/0101/PRIM/VII/2026,1091,3578,active,15000000,11000000,,,30,0,2026-07-25T15:22:33.009Z
3564,SP-MGR/0102/PRIM/VII/2026,1160,3579,active,7000000,5950000,,,20,0,2026-07-25T15:22:33.032Z
3565,SP-MGR/0103/PRIM/VII/2026,1182,3580,active,15000000,9750000,,,20,0,2026-07-25T15:22:33.054Z
3566,SP-MGR/0104/PRIM/VII/2026,841,3581,active,5000000,1664000,,,12,0,2026-07-25T15:22:33.076Z
3567,SP-MGR/0105/PRIM/VII/2026,910,3582,active,50000000,5194000,,,48,0,2026-07-25T15:22:33.098Z
3568,SP-MGR/0106/PRIM/VII/2026,1282,3583,active,11000000,7328000,,,24,0,2026-07-25T15:22:33.121Z
3569,SP-MGR/0107/PRIM/VII/2026,1036,3584,active,14000000,13416000,,,24,0,2026-07-25T15:22:33.149Z
3570,SP-MGR/0108/PRIM/VII/2026,1292,3585,active,6000000,1200000,,,10,0,2026-07-25T15:22:33.171Z
3571,SP-MGR/0109/PRIM/VII/2026,1097,3586,active,18000000,17000000,,,36,0,2026-07-25T15:22:33.192Z
3572,SP-MGR/0110/PRIM/VII/2026,1082,3587,active,20000000,14440000,,,36,0,2026-07-25T15:22:33.218Z
3573,SP-MGR/0111/PRIM/VII/2026,1256,3588,active,11500000,460000,,,24,0,2026-07-25T15:22:33.242Z
3574,SP-MGR/0112/PRIM/VII/2026,1174,3589,active,8000000,7333000,,,12,0,2026-07-25T15:22:33.265Z
3575,SP-MGR/0113/PRIM/VII/2026,976,3590,active,45000000,42000000,,,30,0,2026-07-25T15:22:33.290Z
3576,SP-MGR/0114/PRIM/VII/2026,1073,3591,active,5000000,1029000,,,24,0,2026-07-25T15:22:33.313Z
3577,SP-MGR/0115/PRIM/VII/2026,1335,3592,active,20000000,18000000,,,20,0,2026-07-25T15:22:33.335Z
3578,SP-MGR/0116/PRIM/VII/2026,833,3593,active,30000000,21660000,,,36,0,2026-07-25T15:22:33.358Z
3579,SP-MGR/0117/PRIM/VII/2026,1209,3594,active,45000000,26250000,,,24,0,2026-07-25T15:22:33.381Z
3580,SP-MGR/0118/PRIM/VII/2026,1267,3595,active,31600000,21330000,,,40,0,2026-07-25T15:22:33.403Z
